#THIS SPECTRUM IS BASED ON SOLAR2000 UP TO 105 NM AND PANAYOTIS MODEL FROM THERE ON.
    126.0000    127.0000    2.6299e+09    1.00
    127.0000    128.0000    1.4178e+09    1.00
    128.0000    129.0000    1.1757e+09    1.00
    129.0000    130.0000    1.4747e+09    1.00
    130.0000    131.0000    1.1131e+10    1.00
    131.0000    132.0000    1.9051e+09    1.00
    132.0000    133.0000    1.4755e+09    1.00
    133.0000    133.6250    2.1088e+10    1.00
    133.6250    134.2000    8.6397e+09    1.00
    134.2000    135.1000    1.3503e+09    1.00
    135.1000    136.0250    2.8543e+09    1.00
    136.0250    136.9750    1.9075e+09    1.00
    136.9750    137.9250    2.0377e+09    1.00
    137.9250    139.1200    2.6062e+09    1.00
    139.1200    140.8150    9.1673e+09    1.00
    140.8150    142.8150    7.1944e+09    1.00
    142.8150    144.8900    8.3564e+09    1.00
    144.8900    147.0150    1.0372e+10    1.00
    147.0150    149.2150    1.5085e+10    1.00
    149.2150    151.4900    1.5953e+10    1.00
    151.4900    153.8150    2.2784e+10    1.00
    153.8150    156.2150    4.1534e+10    1.00
    156.2150    158.7150    3.8757e+10    1.00
    158.7150    161.2900    4.1248e+10    1.00
    161.2900    163.9400    6.0095e+10    1.00
    163.9400    166.6900    9.4560e+10    1.00
    166.6900    169.5150    1.1513e+11    1.00
    169.5150    172.0450    1.5896e+11    1.00
    172.0450    173.9000    1.2905e+11    1.00
    173.9000    175.4250    1.3803e+11    1.00
    175.4250    177.0000    1.7777e+11    1.00
    177.0000    178.6000    2.3594e+11    1.00
    178.6000    180.2000    2.5612e+11    1.00
    180.2000    181.8250    3.3611e+11    1.00
    181.8250    183.5000    3.6611e+11    1.00
    183.5000    185.2000    3.5535e+11    1.00
    185.2000    186.9250    4.2087e+11    1.00
    186.9250    188.7000    5.4698e+11    1.00
    188.7000    190.5000    6.5238e+11    1.00
    190.5000    192.3250    7.5648e+11    1.00
    192.3250    194.2000    7.6535e+11    1.00
    194.2000    196.1000    1.0925e+12    1.00
    196.1000    198.0250    1.2523e+12    1.00
    198.0250    200.0000    1.3741e+12    1.00
    200.0000    202.0250    1.7152e+12    1.00
    202.0250    204.1000    2.0189e+12    1.00
    204.1000    206.1950    2.4665e+12    1.00
    206.1950    208.3150    2.9637e+12    1.00
    208.3150    210.5150    5.1018e+12    1.00
    210.5150    212.7650    8.1984e+12    1.00
    212.7650    215.0400    9.2595e+12    1.00
    215.0400    217.3900    9.0282e+12    1.00
    217.3900    219.7900    1.2096e+13    1.00
    219.7900    222.2150    1.2248e+13    1.00
    222.2150    224.7150    1.7350e+13    1.00
    224.7150    227.2900    1.4032e+13    1.00
    227.2900    229.9150    1.4802e+13    1.00
    229.9150    232.5900    1.6846e+13    1.00
    232.5900    235.3150    1.4570e+13    1.00
    235.3150    238.1150    1.7716e+13    1.00
    238.1150    240.9900    1.4700e+13    1.00
    240.9900    243.9150    2.3204e+13    1.00
    243.9150    246.9150    2.1050e+13    1.00
    246.9150    250.0150    2.1247e+13    1.00
    250.0150    253.1900    2.0227e+13    1.00
    253.1900    256.4150    2.9328e+13    1.00
    256.4150    259.7400    5.2435e+13    1.00
    259.7400    263.1900    4.6223e+13    1.00
    263.1900    266.7150    1.1570e+14    1.00
    266.7150    270.3150    1.2744e+14    1.00
    270.3150    274.0150    1.1978e+14    1.00
    274.0150    277.8150    1.0983e+14    1.00
    277.8150    281.7150    8.0570e+13    1.00
    281.7150    285.7350    1.5065e+14    1.00
    285.7350    289.8850    2.2299e+14    1.00
    289.8850    294.1350    3.6102e+14    1.00
    294.1350    298.5050    3.4597e+14    1.00
